collection_id,collection_title,transcript_id,title,description,url,audio,transcript_text,transcript_vtt,transcript_json
buzz,Buzzfeed,ep-17-caribbean-vibez,"Another Round, Ep 17: Caribbean Vibez (with Stacy-Marie Ishmael)",,,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/audio/ep-17-caribbean-vibez.mp3,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/text/ep-17-caribbean-vibez.text,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/vtt/ep-17-caribbean-vibez.vtt,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/json/ep-17-caribbean-vibez.json
buzz,Buzzfeed,ep-19-was-that-a-microaggression-or-just-tuesday,"Another Round, Ep 19: Was That a Microaggression or Just Tuesday? (with Audie Cornish)",,,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/audio/ep-19-was-that-a-microaggression-or-just-tuesday.mp3,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/text/ep-19-was-that-a-microaggression-or-just-tuesday.text,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/vtt/ep-19-was-that-a-microaggression-or-just-tuesday.vtt,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/json/ep-19-was-that-a-microaggression-or-just-tuesday.json
buzz,Buzzfeed,ep-33-pick-a-slay,"Another Round, Ep 33: Pick A Slay (with Uzo Aduba)",,,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/audio/ep-33-pick-a-slay.mp3,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/text/ep-33-pick-a-slay.text,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/vtt/ep-33-pick-a-slay.vtt,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/json/ep-33-pick-a-slay.json
buzz,Buzzfeed,ep-39-the-betrayer-of-the-patriarchy,"Another Round, Ep 39: The Betrayer of the Patriarchy (with Anil Dash)",,,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/audio/ep-39-the-betrayer-of-the-patriarchy.mp3,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/text/ep-39-the-betrayer-of-the-patriarchy.text,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/vtt/ep-39-the-betrayer-of-the-patriarchy.vtt,https://github.com/nypl-openaudio/data-buzzfeed/raw/master/transcripts/json/ep-39-the-betrayer-of-the-patriarchy.json
gimlet,Gimlet Media,su_0105_july_2015_ads,StartUp Season 1 Episode 5 (How to Name Your Company),,,https://github.com/nypl-openaudio/data-gimlet/raw/master/audio/su_0105_july_2015_ads.mp3,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/text/su_0105_july_2015_ads.text,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/vtt/su_0105_july_2015_ads.vtt,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/json/su_0105_july_2015_ads.json
gimlet,Gimlet Media,su_0209_aug_2015_ads,StartUp Season 2 Episode 9 (Dating Ring of Fire),,,https://github.com/nypl-openaudio/data-gimlet/raw/master/audio/su_0209_aug_2015_ads.mp3,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/text/su_0209_aug_2015_ads.text,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/vtt/su_0209_aug_2015_ads.vtt,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/json/su_0209_aug_2015_ads.json
gimlet,Gimlet Media,startup_kitchen_confidential_with_ads,StartUp Season 3 Episode 6 (Kitchen Confidential),,,https://github.com/nypl-openaudio/data-gimlet/raw/master/audio/startup_kitchen_confidential_with_ads.mp3,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/text/startup_kitchen_confidential_with_ads.text,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/vtt/startup_kitchen_confidential_with_ads.vtt,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/json/startup_kitchen_confidential_with_ads.json
gimlet,Gimlet Media,01_60_a_simple_question,Reply All Episode 60 (A Simple Question),,,https://github.com/nypl-openaudio/data-gimlet/raw/master/audio/01_60_a_simple_question.mp3,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/text/01_60_a_simple_question.text,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/vtt/01_60_a_simple_question.vtt,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/json/01_60_a_simple_question.json
gimlet,Gimlet Media,01_50_the_cathedral,Reply All Episode 50 (The Cathedral),,,https://github.com/nypl-openaudio/data-gimlet/raw/master/audio/01_50_the_cathedral.mp3,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/text/01_50_the_cathedral.text,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/vtt/01_50_the_cathedral.vtt,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/json/01_50_the_cathedral.json
gimlet,Gimlet Media,56_zardulu,Reply All Episode 56 (Zardulu),,,https://github.com/nypl-openaudio/data-gimlet/raw/master/audio/56_zardulu.mp3,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/text/56_zardulu.text,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/vtt/56_zardulu.vtt,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/json/56_zardulu.json
gimlet,Gimlet Media,ms_04_iluv911-1115ads-ssremoval-dhv02-mb05,Mystery Show Case #4 (Vanity Plate),,,https://github.com/nypl-openaudio/data-gimlet/raw/master/audio/ms_04_iluv911-1115ads-ssremoval-dhv02-mb05.mp3,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/text/ms_04_iluv911-1115ads-ssremoval-dhv02-mb05.text,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/vtt/ms_04_iluv911-1115ads-ssremoval-dhv02-mb05.vtt,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/json/ms_04_iluv911-1115ads-ssremoval-dhv02-mb05.json
gimlet,Gimlet Media,ms_03_beltbuckle-1115ads-ssremoval-dhv02-mb04,Mystery Show Case #3 (Belt Buckle),,,https://github.com/nypl-openaudio/data-gimlet/raw/master/audio/ms_03_beltbuckle-1115ads-ssremoval-dhv02-mb04.mp3,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/text/ms_03_beltbuckle-1115ads-ssremoval-dhv02-mb04.text,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/vtt/ms_03_beltbuckle-1115ads-ssremoval-dhv02-mb04.vtt,https://github.com/nypl-openaudio/data-gimlet/raw/master/transcripts/json/ms_03_beltbuckle-1115ads-ssremoval-dhv02-mb04.json
